;TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*;Dominated
70;;;;;;;;;;;;;;;;;;;;;;;;;0
71;;;;;;;;;;;;;;;;;;;;;;;;;0
72;;;;;;;;;;;;;;;;;;;;;;;;;0
73;;;;;;;;;;;;;;;;;;;;;;;;;0
74;;;;;;;;;;;;;;;;;;;;;;;;;0
75;;;;;;;;;;;;;;;;;;;;;;;;;0
76;;;;;;;;;;;;;;;;;;;;;;;;;0
77;;;;;;;;;;;;;;;;;;;;;;;;;0
78;;;;;;;;;;;;;;;;;;;;;;;;;0
79;;;;;;;;;;;;;;;;;;;;;;;;;0
80;;;;;;;;;;;;;;;;;;;;;;;;;0
81;;;;;;;;;;;;;;;;;;;;;;;;;0
82;;;;;;;;;;;;;;;;;;;;;;;;;0
83;;;;;;;;;;;;;;;;;;;;;;;;;0
84;;;;;;;;;;;;;;;;;;;;;;;;;0
85;;;;;;;;;;;;;;;;;;;;;;;;;0
86;;;;;;;;;;;;;;;;;;;;;;;;;0
87;;;;;;;;;;;;;;;;;;;;;;;;;0
88;;;;;;;;;;;;;;;;;;;;;;;;;0
89;;;;;;;;;;;;;;;;;;;;;;;;;0
90;;;;;;;;;;;;;;;;;;;;;;;;;0
91;;;;;;;;;;;;;;;;;;;;;;;;;0
92;;;;;;;;;;;;;;;;;;;;;;;;;0
93;;;;;;;;;;;;;;;;;;;;;;;;;0
94;;;;;;;;;;;;;;;;;;;;;;;;;0
95;;;;;;;;;;;;;;;;;;;;;;;;;0
96;;;;;;;;;;;;;;;;;;;;;;;;;0
97;;;;;;;;;;;;;;;;;;;;;;;;;0
98;;;;;;;;;;;;;;;;;;;;;;;;;0
99;;;;;;;;;;;;;;;;;;;;;;;;;0
100;;;;;;;;;;;;;;;;;;;;;;;;;0
101;;;;;;;;;;;;;;;;;;;;;;;;;0
102;;;;;;;;;;;;;;;;;;;;;;;;;0
103;;;;;;;;;;;;;;;;;;;;;;;;;0
104;;;;;;;;;;;;;;;;;;;;;;;;;0
105;;;;;;;;;;;;;;;;;;;;;;;;;0
106;;;;;;;;;;;;;;;;;;;;;;;;;0
107;;;;;;;;;;;;;;;;;;;;;;;;;0
108;;;;;;;;;;;;;;;;;;;;;;;;;0
109;;;;;;;;;;;;;;;;;;;;;;;;;0
110;;;;;;;;;;;;;;;;;;;;;;;;;0
111;;;;;;;;;;;;;;;;;;;;;;;;;0
112;;;;;;;;;;;;;;;;;;;;;;;;;0
113;;;;;;;;;;;;;;;;;;;;;;;;;0
114;;;;;;;;;;;;;;;;;;;;;;;;;0
115;;;;;;;;;;;;;;;;;;;;;;;;;0
116;;;;;;;;;;;;;;;;;;;;;;;;;0
117;;;;;;;;;;;;;;;;;;;;;;;;;0
118;;;;;;;;;;;;;;;;;;;;;;;;;0
119;;;;;;;;;;;;;;;;;;;;;;;;;0
120;;;;;;;;;;;;;;;;;;;;;;;;;0
121;;;;;;;;;;;;;;;;;;;;;;;;;0
122;;;;;;;;;;;;;;;;;;;;;;;;;0
123;;;;;;;;;;;;;;;;;;;;;;;;;0
124;;;;;;;;;;;;;;;;;;;;;;;;;0
